env,label,metric,phase,point,run_dir,update,value
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,110,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.1994158774614334
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,111,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2250,0.19733265042304993
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,112,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2500,0.1848994493484497
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,113,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2750,0.18864865601062775
reacher,reacher_seed0,model/total_loss,online_005_candidate_world_model,114,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,3000,0.1868809014558792
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,115,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1,0.20090706646442413
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,116,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,250,0.19765321910381317
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,117,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,500,0.1520024985074997
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,118,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,750,0.1784127652645111
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,119,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1000,0.18907609581947327
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,120,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1250,0.18747973442077637
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,121,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1500,0.1552346646785736
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,122,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,1750,0.18073028326034546
reacher,reacher_seed0,model/total_loss,online_006_candidate_world_model,123,runs/brax_jepa_smallbatch_mainline_reacher_pusher/reacher_seed0/brax_jepa_20260626T213546Z,2000,0.20942117273807526
